Matrix Size,Kernel Size,Threads,Run ID,Execution Time (Seconds)
256x256,5,4,87,
256x256,5,4,88,
256x256,5,4,89,
256x256,5,4,90,
256x256,5,4,91,
256x256,5,4,92,
256x256,5,4,93,
256x256,5,4,94,
256x256,5,4,95,
256x256,5,4,96,
256x256,5,4,97,
256x256,5,4,98,
256x256,5,4,99,
256x256,5,4,100,
256x256,7,1,1,
256x256,7,1,2,
256x256,7,1,3,
256x256,7,1,4,
256x256,7,1,5,
256x256,7,1,6,
256x256,7,1,7,
256x256,7,1,8,
256x256,7,1,9,
256x256,7,1,10,
256x256,7,1,11,
256x256,7,1,12,
256x256,7,1,13,
256x256,7,1,14,
256x256,7,1,15,
256x256,7,1,16,
256x256,7,1,17,
256x256,7,1,18,
256x256,7,1,19,
256x256,7,1,20,
256x256,7,1,21,
256x256,7,1,22,
256x256,7,1,23,
256x256,7,1,24,
256x256,7,1,25,
256x256,7,1,26,
256x256,7,1,27,
256x256,7,1,28,
256x256,7,1,29,
256x256,7,1,30,
256x256,7,1,31,
256x256,7,1,32,
256x256,7,1,33,
256x256,7,1,34,
256x256,7,1,35,
256x256,7,1,36,
256x256,7,1,37,
256x256,7,1,38,
256x256,7,1,39,
256x256,7,1,40,
256x256,7,1,41,
256x256,7,1,42,
256x256,7,1,43,
256x256,7,1,44,
256x256,7,1,45,
256x256,7,1,46,
256x256,7,1,47,
256x256,7,1,48,
256x256,7,1,49,
256x256,7,1,50,
256x256,7,1,51,
256x256,7,1,52,
256x256,7,1,53,
256x256,7,1,54,
256x256,7,1,55,
256x256,7,1,56,
256x256,7,1,57,
256x256,7,1,58,
256x256,7,1,59,
256x256,7,1,60,
256x256,7,1,61,
256x256,7,1,62,
256x256,7,1,63,
256x256,7,1,64,
256x256,7,1,65,
256x256,7,1,66,
256x256,7,1,67,
256x256,7,1,68,
256x256,7,1,69,
256x256,7,1,70,
256x256,7,1,71,
256x256,7,1,72,
256x256,7,1,73,
256x256,7,1,74,
256x256,7,1,75,
256x256,7,1,76,
256x256,7,1,77,
256x256,7,1,78,
256x256,7,1,79,
256x256,7,1,80,
256x256,7,1,81,
256x256,7,1,82,
256x256,7,1,83,
256x256,7,1,84,
256x256,7,1,85,
256x256,7,1,86,
256x256,7,1,87,
256x256,7,1,88,
256x256,7,1,89,
256x256,7,1,90,
256x256,7,1,91,
256x256,7,1,92,
256x256,7,1,93,
256x256,7,1,94,
256x256,7,1,95,
256x256,7,1,96,
256x256,7,1,97,
256x256,7,1,98,
256x256,7,1,99,
256x256,7,1,100,
256x256,7,1,1,
256x256,7,1,2,
256x256,7,1,3,
256x256,7,1,4,
256x256,7,1,5,
256x256,7,1,6,
256x256,7,1,7,
256x256,7,1,8,
256x256,7,1,9,
256x256,7,1,10,
256x256,7,1,11,
256x256,7,1,12,
256x256,7,1,13,
256x256,7,1,14,
256x256,7,1,15,
